Type                                  Module                      Label             Process   
vector<reco::Track>                   "hltIterL3MuonTracksPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIterL3OIL3MuonsPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIterL3OIMuCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIterL3OIMuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltL2MuonsPPOnAA"          ""                "MyHLT"   
vector<reco::Track>                   "hltL2SelectorForL3IOPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltL3MuonsIterL3IOPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltL3MuonsIterL3OIPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIterL3GlbMuonPPOnAA"    "L2Seeded"        "MyHLT"   
vector<reco::Track>                   "hltL3MuonsIterL3IOPPOnAA"   "L2Seeded"        "MyHLT"   
vector<reco::Track>                   "hltL3MuonsIterL3OIPPOnAA"   "L2Seeded"        "MyHLT"   
vector<reco::Track>                   "hltL2MuonsPPOnAA"          "UpdatedAtVtx"    "MyHLT"   
vector<reco::TrackExtra>              "hltIter0IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter0IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter0IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter0IterL3MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter2IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter2IterL3FromL1MuonMergedPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter2IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter2IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter2IterL3MuonMergedPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter2IterL3MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter3IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter3IterL3FromL1MuonMergedPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter3IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter3IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter3IterL3MuonMergedPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIter3IterL3MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIterL3FromL1MuonPixelTracksPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIterL3GlbMuonPPOnAA"    ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIterL3MuonAndMuonFromL1MergedPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIterL3MuonMergedPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIterL3MuonPixelTracksPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIterL3MuonTracksPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIterL3OIMuCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIterL3OIMuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltL2MuonsPPOnAA"          ""                "MyHLT"   
vector<reco::TrackExtra>              "hltL3MuonsIterL3IOPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltL3MuonsIterL3OIPPOnAA"   ""                "MyHLT"   
vector<reco::TrackExtra>              "hltIterL3GlbMuonPPOnAA"    "L2Seeded"        "MyHLT"   
vector<reco::TrackExtra>              "hltL3MuonsIterL3IOPPOnAA"   "L2Seeded"        "MyHLT"   
vector<reco::TrackExtra>              "hltL3MuonsIterL3OIPPOnAA"   "L2Seeded"        "MyHLT"   
vector<reco::Vertex>                  "hltIterL3FromL1MuonPixelVerticesPPOnAA"   ""                "MyHLT"   
vector<reco::Vertex>                  "hltIterL3FromL1MuonTrimmedPixelVerticesPPOnAA"   ""                "MyHLT"   
vector<reco::Vertex>                  "hltIterL3MuonPixelVerticesPPOnAA"   ""                "MyHLT"   
vector<reco::Vertex>                  "hltIterL3MuonTrimmedPixelVerticesPPOnAA"   ""                "MyHLT"   
vector<unsigned char>                 "hltIter0IterL3FromL1MuonTrackCutClassifierPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIter0IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIter0IterL3MuonTrackCutClassifierPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIter0IterL3MuonTrackSelectionHighPurityPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIter2IterL3FromL1MuonTrackCutClassifierPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIter2IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIter2IterL3MuonTrackCutClassifierPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIter2IterL3MuonTrackSelectionHighPurityPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIter3IterL3FromL1MuonTrackCutClassifierPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIter3IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIter3IterL3MuonTrackCutClassifierPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIter3IterL3MuonTrackSelectionHighPurityPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIterL3OIMuonTrackCutClassifierPPOnAA"   "QualityMasks"    "MyHLT"   
vector<unsigned char>                 "hltIterL3OIMuonTrackSelectionHighPurityPPOnAA"   "QualityMasks"    "MyHLT"   
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "MyHLT"   
trigger::TriggerEventWithRefs         "hltTriggerSummaryRAW"      ""                "MyHLT"   
trigger::TriggerFilterObjectWithRefs   "hltL1fForIterL3L1fL1sL1DoubleMuOpenL1Filtered0"   ""                "MyHLT"   
trigger::TriggerFilterObjectWithRefs   "hltL1fForIterL3L1fL1sSingleMu3OpenL1Filtered7"   ""                "MyHLT"   
trigger::TriggerFilterObjectWithRefs   "hltL1fL1sL1DoubleMuOpenL1Filtered0"   ""                "MyHLT"   
trigger::TriggerFilterObjectWithRefs   "hltL1fL1sSingleMu3OpenL1Filtered7"   ""                "MyHLT"   
trigger::TriggerFilterObjectWithRefs   "hltL1sDoubleMuOpenBptxAND"   ""                "MyHLT"   
trigger::TriggerFilterObjectWithRefs   "hltL1sSingleMu3OpenBptxAND"   ""                "MyHLT"   
trigger::TriggerFilterObjectWithRefs   "hltL2fL1sL1DoubleMuOpenL1f0L2PreFiltered0"   ""                "MyHLT"   
trigger::TriggerFilterObjectWithRefs   "hltL2fL1sSingleMu3OpenL2Filtered7"   ""                "MyHLT"   
trigger::TriggerFilterObjectWithRefs   "hltL3fL1DoubleMuOpenL3Filtered0"   ""                "MyHLT"   
trigger::TriggerFilterObjectWithRefs   "hltL3fL1sL1SingleMu3OpenL1f7L2f0L3Filtered12"   ""                "MyHLT"   
