Module name, EDProducer name
hltIter0IterL3FromL1MuonCkfTrackCandidatesPPOnAA, CkfTrackCandidateMaker
hltIter0IterL3FromL1MuonCtfWithMaterialTracksPPOnAA, TrackProducer
hltIter0IterL3FromL1MuonTrackCutClassifierPPOnAA, TrackCutClassifier
hltIter0IterL3FromL1MuonTrackSelectionHighPurityPPOnAA, TrackCollectionFilterCloner
hltIter2IterL3FromL1MuonClustersRefRemovalPPOnAA, TrackClusterRemover
hltIter2IterL3FromL1MuonMaskedMeasurementTrackerEventPPOnAA, MaskedMeasurementTrackerEventProducer
hltIter2IterL3FromL1MuonPixelLayerTripletsPPOnAA, SeedingLayersEDProducer
hltIter2IterL3FromL1MuonPixelClusterCheckPPOnAA, ClusterCheckerEDProducer
hltIter2IterL3FromL1MuonPixelHitDoubletsPPOnAA, HitPairEDProducer
hltIter2IterL3FromL1MuonPixelHitTripletsPPOnAA, CAHitTripletEDProducer
hltIter2IterL3FromL1MuonPixelSeedsPPOnAA, SeedCreatorFromRegionConsecutiveHitsTripletOnlyEDProducer
hltIter2IterL3FromL1MuonCkfTrackCandidatesPPOnAA, CkfTrackCandidateMaker
hltIter2IterL3FromL1MuonCtfWithMaterialTracksPPOnAA, TrackProducer
hltIter2IterL3FromL1MuonTrackCutClassifierPPOnAA, TrackCutClassifier
hltIter2IterL3FromL1MuonTrackSelectionHighPurityPPOnAA, TrackCollectionFilterCloner
hltIter2IterL3FromL1MuonMergedPPOnAA, TrackListMerger
hltIter3IterL3FromL1MuonClustersRefRemovalPPOnAA, TrackClusterRemover
hltIter3IterL3FromL1MuonMaskedMeasurementTrackerEventPPOnAA, MaskedMeasurementTrackerEventProducer
hltIter3IterL3FromL1MuonPixelLayerPairsPPOnAA, SeedingLayersEDProducer
hltIter3IterL3FromL1MuonTrackingRegionsPPOnAA, CandidateSeededTrackingRegionsEDProducer
hltIter3IterL3FromL1MuonPixelClusterCheckPPOnAA, ClusterCheckerEDProducer
hltIter3IterL3FromL1MuonPixelHitDoubletsPPOnAA, HitPairEDProducer
hltIter3IterL3FromL1MuonPixelSeedsPPOnAA, SeedCreatorFromRegionConsecutiveHitsEDProducer
hltIter3IterL3FromL1MuonCkfTrackCandidatesPPOnAA, CkfTrackCandidateMaker
hltIter3IterL3FromL1MuonCtfWithMaterialTracksPPOnAA, TrackProducer
hltIter3IterL3FromL1MuonTrackCutClassifierPPOnAA, TrackCutClassifier
hltIter3IterL3FromL1MuonTrackSelectionHighPurityPPOnAA, TrackCollectionFilterCloner
hltIter3IterL3FromL1MuonMergedPPOnAA, TrackListMerger
hltIterL3MuonMergedPPOnAA, TrackListMerger
hltIterL3MuonAndMuonFromL1MergedPPOnAA, TrackListMerger
hltIterL3GlbMuonPPOnAA, L3MuonProducer
hltIterL3MuonsNoIDPPOnAA, MuonIdProducer
hltIterL3MuonsPPOnAA, MuonIDFilterProducerForHLT
hltL3MuonsIterL3LinksPPOnAA, MuonLinksProducer
hltIterL3MuonTracksPPOnAA, HLTMuonTrackSelector
hltIterL3MuonCandidatesPPOnAA, L3MuonCandidateProducerFromMuons
hltSiStripDigiToZSRaw, SiStripDigiToRawModule
rawDataRepacker, RawDataCollectorByLabel
rawDataReducedFormat, EvFFEDSelector
